Symbol,Date_1,Date_2,Date_3,Date_4,Date_5,Date_6,Date_7,Date_8,Date_9,Date_10,Date_11,Risk,Resilience,Growth Potential,Financial Health,Competitive Positioning
MarketAxess Holdings Inc.,19.780000686645508,32.040000915527344,37.970001220703125,55.9900016784668,89.2300033569336,143.58999633789062,201.88999938964844,184.3699951171875,349.70001220703125,519.9099731445312,413.6099853515625,3.265310277049011,3.12069454120474,2.813252547639732,3.704438642068402,2.81095585941935
MarketAxess Holdings Inc.,29.26000022888184,37.77999877929688,63.43999862670898,88.72000122070312,140.0,201.1000061035156,189.67999267578125,342.0599975585937,540.47998046875,367.25,279.8500061035156,2.931832886960598,2.718637628877893,4.254615439089315,2.9484761663537222,4.044509675678262
MarketAxess Holdings Inc.,36.22999954223633,61.27999877929688,86.02999877929688,126.18000030517578,195.5599975585937,200.72000122070312,341.4700012207031,458.6700134277344,405.7699890136719,255.8800048828125,291.6000061035156,2.915896210714977,3.506990527937779,3.8065072593444027,4.251797874337031,4.9064941574220065
"T. Rowe Price Group, Inc.",64.27999877929688,59.54999923706055,74.70999908447266,80.61000061035156,81.2699966430664,72.33999633789062,83.37000274658203,110.2699966430664,110.25,139.3699951171875,199.32000732421875,4.825397275341366,2.7307054203663124,2.7304145902888206,3.150868113228155,3.431877426446998
"T. Rowe Price Group, Inc.",57.59000015258789,72.9000015258789,81.58000183105469,83.0,77.36000061035156,74.20999908447266,118.5500030517578,117.8499984741211,146.88999938964844,207.17999267578125,110.7300033569336,3.5708717733278585,2.517843076500851,2.7325979914658602,2.8398533717140633,4.7084598197973495
"T. Rowe Price Group, Inc.",66.9800033569336,79.33999633789062,83.52999877929688,77.72000122070312,69.66000366210938,116.5199966430664,105.70999908447266,129.24000549316406,199.759994506836,121.0,108.69000244140624,4.787114983605809,3.318277803847998,2.6385119206372973,2.6655533922121153,4.145967344253613
Arch Capital Group Ltd.,9.771110534667969,12.603333473205566,17.203332901000977,19.06999969482422,21.34333229064941,23.84000015258789,32.42333221435547,30.229999542236328,42.0,33.9900016784668,43.93000030517578,3.315708374749301,4.083385201351134,4.250044902940954,3.7600288076637827,4.078786977646701
Arch Capital Group Ltd.,12.493332862854004,15.83666706085205,19.30666732788086,20.68000030517578,23.89999961853028,31.09666633605957,30.11000061035156,40.61000061035156,30.88999938964844,43.11000061035156,63.619998931884766,3.209703113969149,3.466385227657904,4.194987683065095,3.2298571620307253,2.999528040945552
Arch Capital Group Ltd.,14.793333053588867,17.583332061767578,20.696666717529297,23.71666717529297,31.68000030517578,26.6299991607666,37.7599983215332,31.549999237060547,42.470001220703125,57.15999984741211,73.51000213623047,2.6497967318539692,4.40433254274033,4.424745027933925,2.997957542608523,4.540913457768216
The Allstate Corporation,31.90999984741211,30.90999984741211,47.86000061035156,55.77000045776367,67.61000061035156,69.55999755859375,94.23999786376952,98.16000366210938,107.73999786376952,101.30999755859376,116.08000183105467,3.1277950131890826,3.0764748126198906,4.476198858920013,2.503783667415412,2.6780721293104808
