Symbol,Longname,Sector
AAPL,Apple Inc.,Technology
NVDA,NVIDIA Corporation,Technology
MSFT,Microsoft Corporation,Technology
GOOGL,Alphabet Inc.,Communication Services
GOOG,Alphabet Inc.,Communication Services
AMZN,"Amazon.com, Inc.",Consumer Cyclical
META,"Meta Platforms, Inc.",Communication Services
BRK-B,Berkshire Hathaway Inc.,Financial Services
TSLA,"Tesla, Inc.",Consumer Cyclical
AVGO,Broadcom Inc.,Technology
LLY,Eli Lilly and Company,Healthcare
WMT,Walmart Inc.,Consumer Defensive
JPM,JPMorgan Chase & Co.,Financial Services
V,Visa Inc.,Financial Services
UNH,UnitedHealth Group Incorporated,Healthcare
XOM,Exxon Mobil Corporation,Energy
ORCL,Oracle Corporation,Technology
MA,Mastercard Incorporated,Financial Services
HD,"The Home Depot, Inc.",Consumer Cyclical
PG,The Procter & Gamble Company,Consumer Defensive
COST,Costco Wholesale Corporation,Consumer Defensive
JNJ,Johnson & Johnson,Healthcare
ABBV,AbbVie Inc.,Healthcare
NFLX,"Netflix, Inc.",Communication Services
BAC,Bank of America Corporation,Financial Services
CRM,"Salesforce, Inc.",Technology
KO,The Coca-Cola Company,Consumer Defensive
CVX,Chevron Corporation,Energy
TMUS,"T-Mobile US, Inc.",Communication Services
MRK,"Merck & Co., Inc.",Healthcare
AMD,"Advanced Micro Devices, Inc.",Technology
PEP,"PepsiCo, Inc.",Consumer Defensive
CSCO,"Cisco Systems, Inc.",Technology
WFC,Wells Fargo & Company,Financial Services
LIN,Linde plc,Basic Materials
ACN,Accenture plc,Technology
TMO,Thermo Fisher Scientific Inc.,Healthcare
ADBE,Adobe Inc.,Technology
MCD,McDonald's Corporation,Consumer Cyclical
BX,Blackstone Inc.,Financial Services
ABT,Abbott Laboratories,Healthcare
PM,Philip Morris International Inc.,Consumer Defensive
NOW,"ServiceNow, Inc.",Technology
IBM,International Business Machines Corporation,Technology
AXP,American Express Company,Financial Services
MS,Morgan Stanley,Financial Services
TXN,Texas Instruments Incorporated,Technology
GE,GE Aerospace,Industrials
QCOM,QUALCOMM Incorporated,Technology
CAT,Caterpillar Inc.,Industrials
ISRG,"Intuitive Surgical, Inc.",Healthcare
DHR,Danaher Corporation,Healthcare
INTU,Intuit Inc.,Technology
VZ,Verizon Communications Inc.,Communication Services
DIS,The Walt Disney Company,Communication Services
AMGN,Amgen Inc.,Healthcare
CMCSA,Comcast Corporation,Communication Services
GS,"The Goldman Sachs Group, Inc.",Financial Services
PFE,Pfizer Inc.,Healthcare
NEE,"NextEra Energy, Inc.",Utilities
T,AT&T Inc.,Communication Services
RTX,RTX Corporation,Industrials
BKNG,Booking Holdings Inc.,Consumer Cyclical
UBER,"Uber Technologies, Inc.",Technology
AMAT,"Applied Materials, Inc.",Technology
SPGI,S&P Global Inc.,Financial Services
LOW,"Lowe's Companies, Inc.",Consumer Cyclical
